No,House Type,Address,Township,District,Bed Room,Single Room,Lat/Long,Price (THB)/Per Month,Map Location,Remark
572,Townhouse,"672 Moo 7, Chiang Mai",Mae On,Mae Faek,2,2,"18.735857, 98.938345",11872,"https://www.google.com/maps?q=18.735857,98.938345",Near market
573,Detached,"673 Moo 8, Chiang Mai",Doi Lo,Mae Faek,5,1,"18.788642, 99.037702",9682,"https://www.google.com/maps?q=18.788642,99.037702",Near market
574,Bungalow,"674 Moo 4, Chiang Mai",Wiang Haeng,San Na Meng,5,1,"18.859149, 98.981117",7287,"https://www.google.com/maps?q=18.859149,98.981117",Quiet area
575,Bungalow,"675 Moo 9, Chiang Mai",San Pa Tong,San Sai Luang,2,1,"18.743081, 99.080553",7104,"https://www.google.com/maps?q=18.743081,99.080553",Quiet area
576,Condo,"676 Moo 9, Chiang Mai",Phrao,Mae Faek,1,3,"18.70797, 98.946584",12492,"https://www.google.com/maps?q=18.70797,98.946584",Investment opportunity
577,Villa,"677 Moo 2, Chiang Mai",Chiang Dao,San Sai Luang,4,1,"18.637938, 98.938186",7978,"https://www.google.com/maps?q=18.637938,98.938186",Renovated
578,Detached,"678 Moo 3, Chiang Mai",Chom Thong,Mae Faek,4,2,"18.749838, 98.930725",12306,"https://www.google.com/maps?q=18.749838,98.930725",Fully furnished
579,Bungalow,"679 Moo 6, Chiang Mai",San Pa Tong,Mae Faek,2,3,"18.986119, 99.006859",6948,"https://www.google.com/maps?q=18.986119,99.006859",Investment opportunity
580,Detached,"680 Moo 10, Chiang Mai",Doi Lo,San Sai Luang,5,2,"18.645, 99.068995",9183,"https://www.google.com/maps?q=18.645,99.068995",Investment opportunity
581,Condo,"681 Moo 2, Chiang Mai",Saraphi,Mae Faek,5,2,"18.933532, 98.819565",9682,"https://www.google.com/maps?q=18.933532,98.819565",Quiet area
582,Detached,"682 Moo 2, Chiang Mai",San Sai,Mae Faek,5,2,"18.756779, 99.04313",8668,"https://www.google.com/maps?q=18.756779,99.04313",Urgent sale
583,Condo,"683 Moo 7, Chiang Mai",Mae Rim,Nong Han,5,3,"18.862812, 98.901257",9000,"https://www.google.com/maps?q=18.862812,98.901257",Urgent sale
584,Apartment,"684 Moo 9, Chiang Mai",Mae Chaem,San Sai Luang,1,3,"18.930567, 98.913885",10851,"https://www.google.com/maps?q=18.930567,98.913885",Urgent sale
585,Bungalow,"685 Moo 6, Chiang Mai",Mae On,Nong Han,2,2,"18.943227, 98.898283",6662,"https://www.google.com/maps?q=18.943227,98.898283",Investment opportunity
586,Condo,"686 Moo 7, Chiang Mai",Samoeng,San Sai Luang,3,2,"18.887119, 98.83022",6654,"https://www.google.com/maps?q=18.887119,98.83022",Price negotiable
587,Townhouse,"687 Moo 3, Chiang Mai",Doi Lo,Mae Faek,4,1,"18.874586, 98.824877",10150,"https://www.google.com/maps?q=18.874586,98.824877",Near school
588,Detached,"688 Moo 5, Chiang Mai",Mae Chaem,Nong Han,5,1,"18.913082, 98.815154",12425,"https://www.google.com/maps?q=18.913082,98.815154",Investment opportunity
589,Villa,"689 Moo 2, Chiang Mai",Chiang Dao,Nong Han,5,1,"18.732824, 99.009033",11823,"https://www.google.com/maps?q=18.732824,99.009033",Price negotiable
590,Villa,"690 Moo 10, Chiang Mai",Mae Wang,San Na Meng,4,1,"18.80486, 98.822722",8213,"https://www.google.com/maps?q=18.80486,98.822722",Investment opportunity
591,Condo,"691 Moo 2, Chiang Mai",Mae Rim,Mae Faek,4,1,"18.628685, 98.858276",11930,"https://www.google.com/maps?q=18.628685,98.858276",Renovated
592,Villa,"692 Moo 8, Chiang Mai",Doi Lo,Mae Faek,1,3,"18.66444, 99.004054",9219,"https://www.google.com/maps?q=18.66444,99.004054",Quiet area
593,Condo,"693 Moo 6, Chiang Mai",San Sai,Mae Faek,5,2,"18.720035, 98.875982",12387,"https://www.google.com/maps?q=18.720035,98.875982",Fully furnished
594,Apartment,"694 Moo 9, Chiang Mai",San Kamphaeng,Nong Han,3,1,"18.768634, 98.966518",11203,"https://www.google.com/maps?q=18.768634,98.966518",Near market
595,Villa,"695 Moo 7, Chiang Mai",Doi Saket,Mae Faek,4,1,"18.888777, 98.908055",10097,"https://www.google.com/maps?q=18.888777,98.908055",Fully furnished
596,Detached,"696 Moo 5, Chiang Mai",Mae Chaem,Mae Faek,4,2,"18.875779, 99.081664",7703,"https://www.google.com/maps?q=18.875779,99.081664",Quiet area
597,Detached,"697 Moo 7, Chiang Mai",Mae Ai,San Na Meng,1,2,"18.612809, 99.069148",11873,"https://www.google.com/maps?q=18.612809,99.069148",Investment opportunity
598,Condo,"698 Moo 2, Chiang Mai",Mae Chaem,Mae Faek,5,2,"18.821175, 98.860181",10678,"https://www.google.com/maps?q=18.821175,98.860181",Near market
599,Bungalow,"699 Moo 6, Chiang Mai",Mae Wang,San Na Meng,2,3,"18.965588, 99.08631",12748,"https://www.google.com/maps?q=18.965588,99.08631",Great view
600,Townhouse,"700 Moo 4, Chiang Mai",Mae On,Nong Han,3,1,"18.831312, 99.019173",10836,"https://www.google.com/maps?q=18.831312,99.019173",Urgent sale
601,Townhouse,"701 Moo 4, Chiang Mai",Chiang Dao,San Sai Luang,5,1,"18.63414, 99.069877",10114,"https://www.google.com/maps?q=18.63414,99.069877",Fully furnished
602,Townhouse,"702 Moo 7, Chiang Mai",Mae Taeng,San Na Meng,1,2,"18.803694, 98.831539",12539,"https://www.google.com/maps?q=18.803694,98.831539",Near school
603,Townhouse,"703 Moo 10, Chiang Mai",Mae Taeng,San Na Meng,4,3,"18.782057, 98.889794",9453,"https://www.google.com/maps?q=18.782057,98.889794",Near market
604,Apartment,"704 Moo 6, Chiang Mai",Mae Taeng,San Na Meng,1,3,"18.925591, 99.078424",7437,"https://www.google.com/maps?q=18.925591,99.078424",Quiet area
605,Detached,"705 Moo 1, Chiang Mai",Mae Wang,Nong Han,1,3,"18.912357, 98.806709",8413,"https://www.google.com/maps?q=18.912357,98.806709",Near market
606,Detached,"706 Moo 10, Chiang Mai",Mae Chaem,Mae Faek,2,1,"18.68238, 98.902205",10439,"https://www.google.com/maps?q=18.68238,98.902205",Fully furnished
607,Apartment,"707 Moo 5, Chiang Mai",Wiang Haeng,Nong Han,3,2,"18.783886, 98.989732",7132,"https://www.google.com/maps?q=18.783886,98.989732",Renovated
608,Bungalow,"708 Moo 2, Chiang Mai",Chom Thong,San Sai Luang,3,2,"18.804892, 98.916462",10091,"https://www.google.com/maps?q=18.804892,98.916462",Fully furnished
609,Villa,"709 Moo 9, Chiang Mai",San Kamphaeng,San Na Meng,4,1,"18.712795, 98.905845",8939,"https://www.google.com/maps?q=18.712795,98.905845",Quiet area
610,Villa,"710 Moo 2, Chiang Mai",Mae Rim,Mae Faek,2,3,"18.989738, 98.848305",11136,"https://www.google.com/maps?q=18.989738,98.848305",Quiet area
611,Apartment,"711 Moo 6, Chiang Mai",Mae Wang,Nong Han,5,1,"18.610406, 98.942349",9748,"https://www.google.com/maps?q=18.610406,98.942349",Near school
612,Bungalow,"712 Moo 8, Chiang Mai",Doi Saket,Nong Han,5,1,"18.857708, 98.924508",6951,"https://www.google.com/maps?q=18.857708,98.924508",Near market
613,Condo,"713 Moo 2, Chiang Mai",Chom Thong,San Sai Luang,1,3,"18.610164, 99.056952",11933,"https://www.google.com/maps?q=18.610164,99.056952",Fully furnished
614,Apartment,"714 Moo 10, Chiang Mai",San Kamphaeng,Nong Han,5,3,"18.667744, 99.08866",12825,"https://www.google.com/maps?q=18.667744,99.08866",Great view
615,Bungalow,"715 Moo 8, Chiang Mai",Hang Dong,San Na Meng,4,1,"18.691966, 98.896502",12780,"https://www.google.com/maps?q=18.691966,98.896502",Renovated
616,Condo,"716 Moo 7, Chiang Mai",San Pa Tong,Mae Faek,1,3,"18.718844, 98.801577",8118,"https://www.google.com/maps?q=18.718844,98.801577",Near school
617,Bungalow,"717 Moo 10, Chiang Mai",Hang Dong,Nong Han,4,3,"18.71261, 99.065348",11474,"https://www.google.com/maps?q=18.71261,99.065348",Quiet area
618,Detached,"718 Moo 8, Chiang Mai",Samoeng,San Na Meng,4,1,"18.620403, 98.978643",12721,"https://www.google.com/maps?q=18.620403,98.978643",Great view
619,Detached,"719 Moo 4, Chiang Mai",Wiang Haeng,San Sai Luang,4,1,"18.817309, 99.090071",12080,"https://www.google.com/maps?q=18.817309,99.090071",Near market
620,Townhouse,"720 Moo 6, Chiang Mai",San Kamphaeng,Nong Han,1,2,"18.684555, 99.017954",7142,"https://www.google.com/maps?q=18.684555,99.017954",New listing
621,Apartment,"721 Moo 2, Chiang Mai",Mae Chaem,San Na Meng,1,2,"18.90846, 99.058045",8896,"https://www.google.com/maps?q=18.90846,99.058045",Fully furnished
622,Condo,"722 Moo 8, Chiang Mai",Doi Tao,San Sai Luang,1,3,"18.839089, 99.072427",9139,"https://www.google.com/maps?q=18.839089,99.072427",Investment opportunity
623,Villa,"723 Moo 5, Chiang Mai",San Kamphaeng,San Sai Luang,3,2,"18.891113, 98.958113",8189,"https://www.google.com/maps?q=18.891113,98.958113",Great view
624,Villa,"724 Moo 6, Chiang Mai",Samoeng,San Sai Luang,3,2,"18.961013, 98.956326",6925,"https://www.google.com/maps?q=18.961013,98.956326",Fully furnished
625,Condo,"725 Moo 6, Chiang Mai",Chom Thong,San Sai Luang,3,2,"18.659405, 98.808323",8390,"https://www.google.com/maps?q=18.659405,98.808323",Investment opportunity
626,Detached,"726 Moo 9, Chiang Mai",Chiang Dao,San Sai Luang,1,1,"18.950776, 98.825897",10925,"https://www.google.com/maps?q=18.950776,98.825897",Near school
627,Townhouse,"727 Moo 2, Chiang Mai",Phrao,San Na Meng,4,2,"18.786631, 98.927661",12214,"https://www.google.com/maps?q=18.786631,98.927661",Quiet area
628,Condo,"728 Moo 7, Chiang Mai",Mae Taeng,Mae Faek,3,1,"18.631182, 98.890253",10227,"https://www.google.com/maps?q=18.631182,98.890253",Near market
629,Villa,"729 Moo 5, Chiang Mai",Mae Taeng,San Na Meng,2,1,"18.925146, 99.095352",7056,"https://www.google.com/maps?q=18.925146,99.095352",Near market
630,Apartment,"730 Moo 6, Chiang Mai",Mae On,Mae Faek,2,1,"18.867202, 98.99045",12595,"https://www.google.com/maps?q=18.867202,98.99045",Investment opportunity
631,Condo,"731 Moo 4, Chiang Mai",Mae On,San Sai Luang,1,3,"18.607506, 98.888586",12519,"https://www.google.com/maps?q=18.607506,98.888586",Great view
632,Detached,"732 Moo 2, Chiang Mai",Mae On,Nong Han,3,3,"18.680211, 99.06493",12720,"https://www.google.com/maps?q=18.680211,99.06493",Quiet area
633,Condo,"733 Moo 5, Chiang Mai",Mae Ai,Nong Han,4,3,"18.791891, 99.078844",11418,"https://www.google.com/maps?q=18.791891,99.078844",New listing
634,Apartment,"734 Moo 5, Chiang Mai",Wiang Haeng,San Sai Luang,4,3,"18.728985, 98.907152",7738,"https://www.google.com/maps?q=18.728985,98.907152",Great view
635,Bungalow,"735 Moo 5, Chiang Mai",San Sai,Mae Faek,5,1,"18.895877, 98.921832",9317,"https://www.google.com/maps?q=18.895877,98.921832",Near school
636,Townhouse,"736 Moo 4, Chiang Mai",San Pa Tong,Mae Faek,5,1,"18.633846, 99.011535",10518,"https://www.google.com/maps?q=18.633846,99.011535",Urgent sale
637,Bungalow,"737 Moo 1, Chiang Mai",San Pa Tong,Nong Han,5,1,"18.690021, 98.922086",12866,"https://www.google.com/maps?q=18.690021,98.922086",New listing
638,Detached,"738 Moo 8, Chiang Mai",Mae Rim,San Na Meng,1,2,"18.983897, 99.052207",9141,"https://www.google.com/maps?q=18.983897,99.052207",Fully furnished
639,Condo,"739 Moo 1, Chiang Mai",Hot,San Sai Luang,5,1,"18.716862, 98.866776",10113,"https://www.google.com/maps?q=18.716862,98.866776",Quiet area
640,Apartment,"740 Moo 3, Chiang Mai",Chiang Dao,San Sai Luang,2,2,"18.646248, 98.939627",9444,"https://www.google.com/maps?q=18.646248,98.939627",Near market
641,Villa,"741 Moo 7, Chiang Mai",Doi Saket,San Sai Luang,3,1,"18.850614, 98.806282",9378,"https://www.google.com/maps?q=18.850614,98.806282",Price negotiable
642,Detached,"742 Moo 2, Chiang Mai",Mae Wang,San Sai Luang,1,3,"18.928569, 98.854441",7736,"https://www.google.com/maps?q=18.928569,98.854441",Quiet area
643,Bungalow,"743 Moo 8, Chiang Mai",Hot,San Na Meng,5,1,"18.734724, 99.099231",12635,"https://www.google.com/maps?q=18.734724,99.099231",Investment opportunity
644,Apartment,"744 Moo 8, Chiang Mai",Doi Tao,San Sai Luang,2,2,"18.653252, 99.061341",7739,"https://www.google.com/maps?q=18.653252,99.061341",Price negotiable
645,Bungalow,"745 Moo 6, Chiang Mai",Doi Saket,San Sai Luang,1,3,"18.775517, 98.862314",7667,"https://www.google.com/maps?q=18.775517,98.862314",Investment opportunity
646,Condo,"746 Moo 3, Chiang Mai",Doi Tao,Mae Faek,1,2,"18.919818, 98.901903",12629,"https://www.google.com/maps?q=18.919818,98.901903",Renovated
647,Condo,"747 Moo 7, Chiang Mai",Phrao,Mae Faek,2,2,"18.923913, 98.851335",12138,"https://www.google.com/maps?q=18.923913,98.851335",New listing
648,Townhouse,"748 Moo 6, Chiang Mai",Mae Rim,San Na Meng,5,1,"18.605889, 99.070969",10551,"https://www.google.com/maps?q=18.605889,99.070969",Near market
649,Villa,"749 Moo 5, Chiang Mai",Mae Taeng,Nong Han,5,1,"18.917731, 99.039533",11969,"https://www.google.com/maps?q=18.917731,99.039533",Investment opportunity
650,Detached,"750 Moo 7, Chiang Mai",San Pa Tong,Nong Han,2,2,"18.906682, 98.900246",12047,"https://www.google.com/maps?q=18.906682,98.900246",Great view
651,Detached,"751 Moo 10, Chiang Mai",Mae Ai,Nong Han,3,3,"18.847122, 98.93932",10832,"https://www.google.com/maps?q=18.847122,98.93932",Near school
652,Villa,"752 Moo 8, Chiang Mai",Hot,Nong Han,4,2,"18.723687, 98.827123",8211,"https://www.google.com/maps?q=18.723687,98.827123",New listing
653,Bungalow,"753 Moo 2, Chiang Mai",Doi Tao,San Sai Luang,5,2,"18.81366, 98.85518",7802,"https://www.google.com/maps?q=18.81366,98.85518",Near market
654,Apartment,"754 Moo 2, Chiang Mai",Samoeng,Nong Han,3,2,"18.827032, 98.874893",10848,"https://www.google.com/maps?q=18.827032,98.874893",Renovated
655,Villa,"755 Moo 4, Chiang Mai",Omkoi,Mae Faek,4,2,"18.608352, 98.979796",12344,"https://www.google.com/maps?q=18.608352,98.979796",Renovated
656,Apartment,"756 Moo 3, Chiang Mai",Samoeng,San Sai Luang,1,1,"18.866593, 98.922647",10257,"https://www.google.com/maps?q=18.866593,98.922647",Fully furnished
657,Villa,"757 Moo 1, Chiang Mai",San Sai,Mae Faek,2,2,"18.652861, 99.024939",9103,"https://www.google.com/maps?q=18.652861,99.024939",New listing
658,Condo,"758 Moo 4, Chiang Mai",Omkoi,Mae Faek,2,2,"18.986892, 99.095073",12133,"https://www.google.com/maps?q=18.986892,99.095073",Renovated
659,Bungalow,"759 Moo 1, Chiang Mai",Mae Ai,Nong Han,3,2,"18.926505, 99.055568",8866,"https://www.google.com/maps?q=18.926505,99.055568",Urgent sale
660,Apartment,"760 Moo 8, Chiang Mai",Saraphi,Nong Han,1,1,"18.646997, 99.005748",8976,"https://www.google.com/maps?q=18.646997,99.005748",Fully furnished
661,Detached,"761 Moo 5, Chiang Mai",Samoeng,Mae Faek,2,1,"18.771403, 99.050103",11040,"https://www.google.com/maps?q=18.771403,99.050103",Investment opportunity
662,Detached,"762 Moo 7, Chiang Mai",Doi Tao,Nong Han,2,1,"18.645515, 98.937386",7463,"https://www.google.com/maps?q=18.645515,98.937386",Great view
663,Bungalow,"763 Moo 9, Chiang Mai",Samoeng,Nong Han,3,2,"18.858694, 98.950725",10037,"https://www.google.com/maps?q=18.858694,98.950725",Great view
664,Villa,"764 Moo 10, Chiang Mai",Mae On,San Sai Luang,5,3,"18.623791, 99.074955",9085,"https://www.google.com/maps?q=18.623791,99.074955",Near market
665,Apartment,"765 Moo 10, Chiang Mai",Mae Ai,Mae Faek,2,1,"18.892173, 99.087876",8897,"https://www.google.com/maps?q=18.892173,99.087876",Near school
666,Villa,"766 Moo 9, Chiang Mai",Hot,Nong Han,4,2,"18.839345, 99.033477",10474,"https://www.google.com/maps?q=18.839345,99.033477",Renovated
667,Detached,"767 Moo 8, Chiang Mai",San Kamphaeng,Nong Han,2,2,"18.801067, 99.049794",7622,"https://www.google.com/maps?q=18.801067,99.049794",Renovated
668,Condo,"768 Moo 6, Chiang Mai",Mae Wang,San Sai Luang,3,3,"18.760927, 98.90406",6857,"https://www.google.com/maps?q=18.760927,98.90406",Quiet area
669,Villa,"769 Moo 7, Chiang Mai",Mae Rim,Nong Han,5,2,"18.87007, 99.084314",12598,"https://www.google.com/maps?q=18.87007,99.084314",Great view
670,Bungalow,"770 Moo 6, Chiang Mai",Mae Wang,Mae Faek,5,2,"18.765686, 98.950628",7676,"https://www.google.com/maps?q=18.765686,98.950628",Urgent sale
671,Villa,"771 Moo 6, Chiang Mai",Chom Thong,San Sai Luang,3,2,"18.669276, 99.0929",8117,"https://www.google.com/maps?q=18.669276,99.0929",Quiet area
672,Detached,"772 Moo 5, Chiang Mai",Phrao,Mae Faek,4,3,"18.731337, 98.918569",6980,"https://www.google.com/maps?q=18.731337,98.918569",Fully furnished
673,Townhouse,"773 Moo 4, Chiang Mai",Hot,Mae Faek,5,1,"18.72926, 98.937803",7663,"https://www.google.com/maps?q=18.72926,98.937803",Near market
674,Townhouse,"774 Moo 5, Chiang Mai",Hot,San Sai Luang,1,1,"18.889401, 99.035434",10813,"https://www.google.com/maps?q=18.889401,99.035434",Quiet area
675,Villa,"775 Moo 8, Chiang Mai",Doi Lo,Mae Faek,2,3,"18.946244, 98.981684",11431,"https://www.google.com/maps?q=18.946244,98.981684",Urgent sale
676,Bungalow,"776 Moo 5, Chiang Mai",Doi Saket,San Sai Luang,1,3,"18.681334, 98.823917",12303,"https://www.google.com/maps?q=18.681334,98.823917",Great view
677,Apartment,"777 Moo 10, Chiang Mai",San Sai,Mae Faek,2,1,"18.871803, 98.975848",7818,"https://www.google.com/maps?q=18.871803,98.975848",Urgent sale
678,Bungalow,"778 Moo 5, Chiang Mai",Mueang,Nong Han,4,3,"18.996378, 99.091877",10166,"https://www.google.com/maps?q=18.996378,99.091877",Near market
679,Condo,"779 Moo 10, Chiang Mai",Hot,San Sai Luang,4,1,"18.839099, 98.921364",7237,"https://www.google.com/maps?q=18.839099,98.921364",Investment opportunity
680,Condo,"780 Moo 8, Chiang Mai",Doi Saket,San Na Meng,3,2,"18.614406, 99.097496",7199,"https://www.google.com/maps?q=18.614406,99.097496",Quiet area
681,Townhouse,"781 Moo 8, Chiang Mai",Mae Rim,Mae Faek,1,1,"18.914537, 98.869142",10599,"https://www.google.com/maps?q=18.914537,98.869142",Investment opportunity
682,Detached,"782 Moo 9, Chiang Mai",Mae Chaem,San Na Meng,1,3,"18.789749, 99.052067",7875,"https://www.google.com/maps?q=18.789749,99.052067",Near market
683,Apartment,"783 Moo 4, Chiang Mai",Hot,San Na Meng,3,1,"18.698251, 98.811982",10911,"https://www.google.com/maps?q=18.698251,98.811982",Quiet area
684,Apartment,"784 Moo 3, Chiang Mai",Mae Taeng,Nong Han,2,2,"18.923624, 98.916463",7359,"https://www.google.com/maps?q=18.923624,98.916463",Investment opportunity
685,Apartment,"785 Moo 2, Chiang Mai",Samoeng,San Sai Luang,5,3,"18.938774, 98.975241",8274,"https://www.google.com/maps?q=18.938774,98.975241",Near school
686,Detached,"786 Moo 2, Chiang Mai",Chiang Dao,Mae Faek,2,3,"18.650975, 98.92396",12149,"https://www.google.com/maps?q=18.650975,98.92396",Urgent sale
687,Detached,"787 Moo 1, Chiang Mai",Chom Thong,Nong Han,4,3,"18.925426, 99.025273",11118,"https://www.google.com/maps?q=18.925426,99.025273",Urgent sale
688,Apartment,"788 Moo 4, Chiang Mai",Doi Saket,Mae Faek,2,2,"18.639204, 98.993248",8349,"https://www.google.com/maps?q=18.639204,98.993248",Price negotiable
689,Detached,"789 Moo 3, Chiang Mai",Mae Rim,Nong Han,5,1,"18.618295, 98.851629",9635,"https://www.google.com/maps?q=18.618295,98.851629",Quiet area
690,Bungalow,"790 Moo 5, Chiang Mai",Saraphi,Nong Han,2,3,"18.98748, 98.901012",6512,"https://www.google.com/maps?q=18.98748,98.901012",Fully furnished
691,Detached,"791 Moo 8, Chiang Mai",Doi Lo,Mae Faek,2,2,"18.985567, 98.809118",12360,"https://www.google.com/maps?q=18.985567,98.809118",Quiet area
692,Bungalow,"792 Moo 7, Chiang Mai",Mae Taeng,Mae Faek,3,3,"18.616427, 98.915938",8236,"https://www.google.com/maps?q=18.616427,98.915938",Fully furnished
693,Condo,"793 Moo 5, Chiang Mai",Saraphi,Mae Faek,5,2,"18.950752, 98.978198",7771,"https://www.google.com/maps?q=18.950752,98.978198",Price negotiable
694,Villa,"794 Moo 1, Chiang Mai",Hot,San Na Meng,1,1,"18.879342, 98.973587",7739,"https://www.google.com/maps?q=18.879342,98.973587",Great view
695,Bungalow,"795 Moo 4, Chiang Mai",Chiang Dao,San Na Meng,5,3,"18.814064, 98.888686",12713,"https://www.google.com/maps?q=18.814064,98.888686",Near market
696,Apartment,"796 Moo 9, Chiang Mai",Chom Thong,Mae Faek,4,1,"18.673982, 99.080626",8970,"https://www.google.com/maps?q=18.673982,99.080626",Near school
697,Apartment,"797 Moo 2, Chiang Mai",Mueang,Nong Han,2,1,"18.953198, 98.844149",12487,"https://www.google.com/maps?q=18.953198,98.844149",Near school
698,Condo,"798 Moo 3, Chiang Mai",Mueang,Nong Han,3,3,"18.936698, 98.915909",9747,"https://www.google.com/maps?q=18.936698,98.915909",Quiet area
699,Bungalow,"799 Moo 10, Chiang Mai",Mae On,San Na Meng,3,2,"18.603751, 99.07316",8804,"https://www.google.com/maps?q=18.603751,99.07316",Near school
700,Detached,"800 Moo 7, Chiang Mai",Chiang Dao,San Na Meng,1,1,"18.83935, 99.020737",8886,"https://www.google.com/maps?q=18.83935,99.020737",Great view
701,Townhouse,"801 Moo 8, Chiang Mai",San Pa Tong,San Sai Luang,4,2,"18.957932, 98.882",11906,"https://www.google.com/maps?q=18.957932,98.882",New listing
702,Apartment,"802 Moo 2, Chiang Mai",San Pa Tong,Nong Han,1,2,"18.870943, 98.827811",9814,"https://www.google.com/maps?q=18.870943,98.827811",Investment opportunity
703,Condo,"803 Moo 1, Chiang Mai",Mae Chaem,San Na Meng,2,3,"18.929252, 98.84753",9563,"https://www.google.com/maps?q=18.929252,98.84753",Near school
704,Bungalow,"804 Moo 6, Chiang Mai",Hang Dong,Nong Han,3,1,"18.657417, 98.906115",12290,"https://www.google.com/maps?q=18.657417,98.906115",Price negotiable
705,Townhouse,"805 Moo 2, Chiang Mai",Hot,San Sai Luang,3,2,"18.825162, 99.024987",11843,"https://www.google.com/maps?q=18.825162,99.024987",Investment opportunity
706,Villa,"806 Moo 6, Chiang Mai",San Kamphaeng,Nong Han,1,3,"18.804685, 98.945072",12405,"https://www.google.com/maps?q=18.804685,98.945072",Great view
707,Townhouse,"807 Moo 8, Chiang Mai",Wiang Haeng,Nong Han,4,1,"18.622686, 99.000629",8335,"https://www.google.com/maps?q=18.622686,99.000629",Great view
708,Bungalow,"808 Moo 9, Chiang Mai",Phrao,Nong Han,1,1,"18.77994, 98.860333",9933,"https://www.google.com/maps?q=18.77994,98.860333",Renovated
709,Apartment,"809 Moo 6, Chiang Mai",Wiang Haeng,San Sai Luang,3,2,"18.841738, 98.833917",10663,"https://www.google.com/maps?q=18.841738,98.833917",Great view
710,Condo,"810 Moo 3, Chiang Mai",Mae Chaem,San Na Meng,4,3,"18.879037, 98.854215",11860,"https://www.google.com/maps?q=18.879037,98.854215",Fully furnished
711,Apartment,"811 Moo 10, Chiang Mai",Mae Wang,San Na Meng,3,1,"18.776141, 99.015181",10416,"https://www.google.com/maps?q=18.776141,99.015181",Price negotiable
712,Condo,"812 Moo 10, Chiang Mai",Chom Thong,San Sai Luang,5,1,"18.819053, 98.978316",7347,"https://www.google.com/maps?q=18.819053,98.978316",Renovated
713,Villa,"813 Moo 9, Chiang Mai",Phrao,San Sai Luang,4,1,"18.758405, 98.931345",9938,"https://www.google.com/maps?q=18.758405,98.931345",Near market
714,Villa,"814 Moo 10, Chiang Mai",Doi Saket,Nong Han,5,3,"18.962508, 98.990529",9575,"https://www.google.com/maps?q=18.962508,98.990529",Fully furnished
715,Bungalow,"815 Moo 9, Chiang Mai",Chiang Dao,San Sai Luang,5,3,"18.907289, 98.95058",10817,"https://www.google.com/maps?q=18.907289,98.95058",Investment opportunity
716,Condo,"816 Moo 5, Chiang Mai",Phrao,San Sai Luang,3,3,"18.740289, 98.945727",11494,"https://www.google.com/maps?q=18.740289,98.945727",Renovated
717,Townhouse,"817 Moo 7, Chiang Mai",Mae On,Nong Han,1,3,"18.832296, 99.087196",10566,"https://www.google.com/maps?q=18.832296,99.087196",Urgent sale
718,Bungalow,"818 Moo 6, Chiang Mai",Wiang Haeng,Mae Faek,2,2,"18.852026, 99.064264",9551,"https://www.google.com/maps?q=18.852026,99.064264",Fully furnished
719,Villa,"819 Moo 4, Chiang Mai",Mae Taeng,San Na Meng,1,2,"18.78573, 98.95909",12146,"https://www.google.com/maps?q=18.78573,98.95909",Renovated
720,Bungalow,"820 Moo 5, Chiang Mai",Mae Taeng,San Sai Luang,1,1,"18.614061, 99.040082",8028,"https://www.google.com/maps?q=18.614061,99.040082",Renovated
721,Detached,"821 Moo 1, Chiang Mai",Mae On,Mae Faek,1,3,"18.869819, 98.985753",8704,"https://www.google.com/maps?q=18.869819,98.985753",Fully furnished
722,Bungalow,"822 Moo 4, Chiang Mai",Samoeng,San Sai Luang,5,2,"18.633452, 98.907586",8624,"https://www.google.com/maps?q=18.633452,98.907586",Near market
723,Villa,"823 Moo 1, Chiang Mai",Samoeng,Nong Han,4,3,"18.669086, 98.887442",8920,"https://www.google.com/maps?q=18.669086,98.887442",Investment opportunity
724,Villa,"824 Moo 10, Chiang Mai",Mae Ai,San Sai Luang,3,3,"18.996776, 98.892863",11361,"https://www.google.com/maps?q=18.996776,98.892863",Urgent sale
725,Villa,"825 Moo 3, Chiang Mai",Phrao,San Sai Luang,3,1,"18.667065, 98.918655",11782,"https://www.google.com/maps?q=18.667065,98.918655",New listing
726,Villa,"826 Moo 3, Chiang Mai",Doi Saket,San Na Meng,1,3,"18.616982, 98.862177",11204,"https://www.google.com/maps?q=18.616982,98.862177",Near market
727,Apartment,"827 Moo 7, Chiang Mai",Mae On,Mae Faek,3,2,"18.643851, 98.977436",12834,"https://www.google.com/maps?q=18.643851,98.977436",Renovated
728,Villa,"828 Moo 2, Chiang Mai",Mae Ai,San Na Meng,5,3,"18.785719, 99.059124",12717,"https://www.google.com/maps?q=18.785719,99.059124",Urgent sale
729,Townhouse,"829 Moo 7, Chiang Mai",Chiang Dao,Mae Faek,5,3,"18.644839, 98.939783",9809,"https://www.google.com/maps?q=18.644839,98.939783",Fully furnished
730,Apartment,"830 Moo 4, Chiang Mai",Samoeng,San Sai Luang,5,3,"18.812681, 98.919711",12931,"https://www.google.com/maps?q=18.812681,98.919711",Near market
731,Apartment,"831 Moo 8, Chiang Mai",Chom Thong,Mae Faek,1,2,"18.989227, 98.870833",10488,"https://www.google.com/maps?q=18.989227,98.870833",Quiet area
732,Villa,"832 Moo 10, Chiang Mai",Doi Saket,Nong Han,5,3,"18.715501, 98.974705",8376,"https://www.google.com/maps?q=18.715501,98.974705",Price negotiable
